Analyzing prog1_sort.c...
Building Basic Blocks...
Generating CFG nodes for prog1_sort.c...
CFG saved to prog1_sort.c_cfg.png
Cyclomatic Complexity: 12
Performing Reaching Definitions Analysis...
  Iteration 1...
  Iteration 2...
  Iteration 3...

========================================
Reaching Definitions Report
========================================
Block      | Gen             | Kill            | In                   | Out                 
42         |                 |                 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9
43         |                 |                 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9
44         |                 |                 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9
45         |                 |                 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9
46         | D30             |                 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D9 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D9
47         | D31             | D10, D14, D4, D5 | D1, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D9 | D1, D12, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D9
48         | D32             | D12, D7         | D1, D12, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9
49         |                 |                 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9
50         |                 |                 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9
51         |                 |                 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9
52         |                 |                 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9
53         | D33             | D17             | D1, D13, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D9 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9
54         |                 |                 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9
55         |                 |                 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9
56         |                 |                 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9
57         |                 |                 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9 | D1, D13, D15, D16, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D9

Analysis Done.
